crop,herbicide,insecticide,fungicide
barley,"2019, 2011","2019, 2011","2019, 2011"
corn,"2021, 2018","2021, 2018","2021, 2018"
"cotton, upland","2010, 2005","2010, 2005","2010, 2005"
cotton,"2021, 2019","2021, 2019","2021, 2019"
peanuts,"2018, 2013","2018, 2013","2018, 2013"
"potatoes, fall","2016, 2014","2016, 2014","2016, 2014"
rice,"2021, 2013","2021, 2013","2021, 2013"
sorghum,"2019, 2011","2019, 2011",NA
soybeans,"2020, 2018","2020, 2018","2020, 2018"
"wheat, spring, durum","2019, 2017","2012, 2009","2019, 2017"
"wheat, spring, (excl durum)","2019, 2017","2019, 2017","2019, 2017"
"wheat, winter","2019, 2017","2019, 2017","2019, 2017"
sugarbeets,2000,2000,2000
